state,x,y
Acre,-345,93
Alagoas,324,75
Amapa,24,305 
Amazonas,-216,193 
Bahia,204,36 
Ceara,277,184 
Distrito Federal,116,-28 
Espirito Santo,253,-109 
Goias,76,3 
Maranhao,146,182 
Mato Grosso,-68,43 
Mato Grosso Do Sul,-52,-107 
Minas Gerais,115,-93 
Para,-16,201 
Paraiba,305,131 
Parana,10,-202 
Pernambuco,274,107 
Piaui,184,114 
Rio De Janeiro,203,-160 
Rio Grande Do Norte,329,159 
Rio Grande Do Sul,19,-299 
Rondonia,-196,53
Roraima,-173,327 
Santa Catarina,37,-243 
Ṣo Paulo,64,-143 
Sergipe,320,56 
Tocantins,86,65